Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Cosmic Gambit,2,Exploration,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Hidden Base,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Secret Outpost,,Base,Unaligned,,4 Outpost,Token,Note: Both sides of this card are the same.
Cosmic Gambit,2,Rapid Deployment,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Triumphant Return,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Two-Pronged Attack,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Veteran Pilots,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Wild Gambit,,Gambit,Unaligned,,,Gambit,
Cosmic Gambit,1,Rules (Gambits Part 1) | Rules (Gambits Part 2),,Rules,,,,Rules,
Crisis: Heroes,1,Admiral Rasmusson,"{Scrap}:
{Gain a Star Empire Ally} <i>(Until end of turn, you may use all of your {Star Empire} abilities.)</i>
Draw a card.",Hero,Unaligned,2,,Trade Deck,
Crisis: Heroes,1,Blob Overlord,"{Scrap}: {Gain 4 Combat} {Gain a Blob Ally} <i>(Until end of turn, you may use all of your {Blob} Ally abilities.)</i>",Hero,Unaligned,2,,Trade Deck,
Crisis: Heroes,1,CEO Torres,"{Scrap}: {Gain 7 Authority} {Gain a Trade Federation Ally} <i>(Until end of turn, you may use all of your {Trade Federation} Ally abilities.)</i>",Hero,Unaligned,2,,Trade Deck,
Crisis: Heroes,2,Cunning Captain,"{Scrap}:
{Gain a Star Empire Ally} <i>(Until end of turn, you may use all of your {Star Empire} Ally abilities.)</i>
Target player discards a card.",Hero,Unaligned,1,,Trade Deck,
Crisis: Heroes,1,High Priest Lyle,"{Scrap}:
{Gain a Machine Cult Ally} <i>(Until end of turn, you may use all of your {Machine Cult} Ally abilities.)</i>
You may scrap a card from your hand or discard pile.",Hero,Unaligned,2,,Trade Deck,
Crisis: Heroes,2,Ram Pilot,"{Scrap}: {Gain 2 Combat} {Gain a Blob Ally} <i>(Until end of turn, you may use all of your {Blob} Ally abilities.)</i>",Hero,Unaligned,1,,Trade Deck,
Crisis: Heroes,2,Special Ops Director,"{Scrap}: {Gain 4 Authority} {Gain a Trade Federation Ally} <i>(Until end of turn, you may use all of your {Trade Federation} Ally abilities.)</i>",Hero,Unaligned,1,,Trade Deck,
Crisis: Heroes,2,War Elder,"{Scrap}:
{Gain a Machine Cult Ally} <i>(Until end of turn, you may use all of your {Machine Cult} Ally abilities.)</i>
You may scrap a card from your hand.",Hero,Unaligned,1,,Trade Deck,
Crisis: Fleets and Fortresses,1,Border Fort,"{Gain 1 Trade} OR {Gain 2 Combat}
<hr>
{Machine Cult Ally}: Scrap a card in your hand or discard pile.",Base,Machine Cult,4,5 Outpost,Trade Deck,
Crisis: Fleets and Fortresses,1,Capitol World,{Gain 6 Authority} Draw a card.,Base,Trade Federation,8,6 Outpost,Trade Deck,
Crisis: Fleets and Fortresses,2,Cargo Launch,"Draw a card.
<hr>
{Scrap}: {Gain 1 Trade}",Ship,Star Empire,1,,Trade Deck,
Crisis: Fleets and Fortresses,2,Customs Frigate,"You may acquire a ship of cost four or less for free and put it on top of your deck.
<hr>
{Trade Federation Ally}: {Gain 4 Combat}
<hr>
{Scrap}: Draw a card.",Ship,Trade Federation,4,,Trade Deck,
Crisis: Fleets and Fortresses,1,Death World,"{Gain 4 Combat}
You may scrap a Trade Federation, Machine Cult, or Star Empire card from your hand or discard pile. If you do, draw a card.",Base,Blob,7,6,Trade Deck,
Crisis: Fleets and Fortresses,2,Patrol Bot,"{Gain 2 Trade} OR {Gain 4 Combat}
<hr>
{Machine Cult Ally}: Scrap a card in your hand or discard pile.",Ship,Machine Cult,2,,Trade Deck,
Crisis: Fleets and Fortresses,2,Spike Pod,"{Gain 3 Combat}
You may scrap up to two cards currently in the Trade Row.
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Blob,1,,Trade Deck,
Crisis: Fleets and Fortresses,1,Star Fortress,"{Gain 3 Combat} Draw a card, then discard a card.
<hr>
{Star Empire Ally}: Draw a card, then discard a card.",Base,Star Empire,7,6 Outpost,Trade Deck,
Crisis: Events,1,Black Hole,"Each player may discard up to two cards. For each card less than two that a player discards, that player loses {4 Authority}",Event,Unaligned,,,Trade Deck,
Crisis: Events,1,Bombardment,Each player either destroys a base they control or loses {6 Authority},Event,Unaligned,,,Trade Deck,
Crisis: Events,2,Comet,Each player may scrap up to two cards in their hand or discard pile.,Event,Unaligned,,,Trade Deck,
Crisis: Events,1,Galactic Summit,Each player gains {7 Authority},Event,Unaligned,,,Trade Deck,
Crisis: Events,2,Quasar,Each player draws two cards.,Event,Unaligned,,,Trade Deck,
Crisis: Events,1,Supernova,"Each player loses {5 Authority}
Scrap all cards in the trade row.",Event,Unaligned,,,Trade Deck,
Crisis: Events,2,Trade Mission,The player currently taking their turn gains {4 Trade} and may put the next ship they acquire this turn on top of their deck. Each other player draws two cards.,Event,Unaligned,,,Trade Deck,
Crisis: Events,2,Warp Jump,"Each player draws three cards, then puts two of those cards back on top of their deck in any order.",Event,Unaligned,,,Trade Deck,
Crisis: Bases & Battleships,1,Construction Hauler,"{Gain 3 Authority} {Gain 2 Trade}
Draw a card.
<hr>
{Trade Federation Ally}: Put the next base you acquire this turn directly into play.",Ship,Trade Federation,6,,Trade Deck,
Crisis: Bases & Battleships,2,Defense Bot,"{Gain 1 Combat}
You may scrap a card in your hand or discard pile. If you control two or more bases, gain {8 Combat}",Ship,Machine Cult,2,,Trade Deck,
Crisis: Bases & Battleships,2,Fighter Base,{Star Empire Ally}: Target opponent discards a card.,Base,Star Empire,3,5 Outpost,Trade Deck,
Crisis: Bases & Battleships,1,Imperial Trader,"{Gain 3 Trade}
Draw a card.
<hr>
{Star Empire Ally}: {Gain 4 Combat}",Ship,Star Empire,5,,Trade Deck,
Crisis: Bases & Battleships,1,Mega Mech,"{Gain 6 Combat}
You may return target base from play to its owner's hand.
<hr>
{Star Empire Ally}: Draw a card.",Ship,Machine Cult,5,,Trade Deck,
Crisis: Bases & Battleships,1,Obliterator,"{Gain 7 Combat}
If your opponent has two or more bases in play, gain an additional {6 Combat}
<hr>
{Blob Ally}: Draw a card.",Ship,Blob,6,,Trade Deck,
Crisis: Bases & Battleships,2,Trade Raft,"{Gain 1 Trade}
<hr>
{Trade Federation Ally}: Draw a card.
<hr>
{Scrap}: {Gain 1 Trade}",Ship,Trade Federation,1,,Trade Deck,
Crisis: Bases & Battleships,2,Trade Wheel,"{Gain 1 Trade}
<hr>
{Blob Ally}: {Gain 2 Combat}",Base,Blob,3,5,Trade Deck,
Gambit,3,Merc Cruiser,,Ship,Unaligned,3,,Trade Deck,
Gambit,1,Bold Raid,,Gambit,Unaligned,,,Gambit,
Gambit,2,Energy Shield,,Gambit,Unaligned,,,Gambit,"<a href=""https://www.starrealms.com/faq/#errata"">Optional Errata</a> - This card now has the secondary ability ""{Scrap}: Draw a card."""
Gambit,2,Frontier Fleet,,Gambit,Unaligned,,,Gambit,
Gambit,1,Political Maneuver,,Gambit,Unaligned,,,Gambit,
Gambit,2,Rise to Power,,Gambit,Unaligned,,,Gambit,
Gambit,1,Salvage Operation,,Gambit,Unaligned,,,Gambit,
Gambit,1,Smuggling Run,,Gambit,Unaligned,,,Gambit,
Gambit,1,Surprise Assault,,Gambit,Unaligned,,,Gambit,
Gambit,1,Unlikely Alliance,,Gambit,Unaligned,,,Gambit,
Gambit,1,Wild Gambit,,Gambit,Unaligned,,,Gambit,
Gambit,1,Nemesis Beast | Rules (Nemesis Beast),,Solo Challenge,,,50 x Players,Challenge,
Gambit,1,Nemesis Beast | Rules (Nemesis Beast),,Co-op Challenge,,,50 x Players,Challenge,
Gambit,1,Pirates of the Dark Star | Rules (Pirates of the Dark Star),,Solo Challenge,,,25 x Players,Challenge,
Gambit,1,Pirates of the Dark Star | Rules (Pirates of the Dark Star),,Co-op Challenge,,,25 x Players,Challenge,
Promo Pack 1,2,Battle Barge,"{Gain 5 Combat}
Target opponent discards a card.
If you have two or more bases in play, gain an additional {3 Combat} and you may return target base in play to its owner's hand.",Ship,Star Empire,4,,Trade Deck,
Promo Pack 1,2,Battle Screecher,"{Gain 5 Combat}
You may scrap up to five cards currently in the trade row.
<hr>
{Blob Ally}: {Gain 2 Trade}",Ship,Blob,4,,Trade Deck,
Promo Pack 1,1,Breeding Site,"If you played a base this turn (including this one), gain {5 Combat}",Base,Blob,4,7,Trade Deck,
Promo Pack 1,2,Fortress Oblivion,"If you played a base this turn (including this one), you may scrap a card in your hand or discard pile.",Base,Machine Cult,3,4 Outpost,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - Added reminder text."
Promo Pack 1,1,Megahauler,"{Gain 5 Authority}
You may acquire any ship without paying its cost and put it on top of your deck.
<hr>
{Trade Federation Ally}: Draw a card.",Ship,Trade Federation,7,,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Optional Errata</a> - You don't have to acquire a ship if you don't want to."
Promo Pack 1,1,Mercenary Garrison,"{Star Empire Ally}: {2 Combat}
<hr>
{Machine Cult Ally}: Scrap a card from your hand or discard pile.
<hr>
{Trade Federation Ally}: {3 Authority}
<hr>
{Blob Ally}: Scrap up to two cards currently in the trade row.",Base,Unaligned,4,5 Outpost,Trade Deck,
Promo Pack 1,2,Security Craft,"{Gain 4 Combat} {Gain 3 Authority}
<hr>
{Trade Federation Ally}: {Gain 3 Trade}",Ship,Trade Federation,4,,Trade Deck,
Promo Pack 1,1,Starbase Omega,"If you played a base this turn (including this one), draw a card.",Base,Star Empire,4,6,Trade Deck,
Promo Pack 1,2,Starmarket,"If you played a base this turn (including this one), gain {5 Authority} OR {3 Trade}",Base,Trade Federation,4,6,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Optional Errata</a> - This card costs 4 to acquire."
Promo Pack 1,1,The Ark,"{Gain 5 Combat}
You may scrap up to two cards in your hand and/or discard pile. For each card scrapped this way, draw a card.
<hr>
{Scrap}: Destroy target base.",Ship,Machine Cult,7,,Trade Deck,
1st Kickstarter Promo Pack,1,Merc Cruiser,"{Gain 5 Combat}
Choose a faction as you play Merc Cruiser. Merc Cruiser has that faction.",Ship,Unaligned,3,,Trade Deck,
"1st Kickstarter Promo Pack,
Organized Play Season 4",2,Battle Barge,"{Gain 5 Combat}
Target opponent discards a card.
If you have two or more bases in play, gain an additional {3 Combat} and you may return target base in play to its owner's hand.",Ship,Star Empire,4,,Trade Deck,
"1st Kickstarter Promo Pack,
Organized Play Season 1",2,Battle Screecher,"{Gain 5 Combat}
You may scrap up to five cards currently in the trade row.
<hr>
{Blob Ally}: {Gain 2 Trade}",Ship,Blob,4,,Trade Deck,
"1st Kickstarter Promo Pack,
Organized Play Season 4",1,Breeding Site,"If you played a base this turn (including this one), gain {5 Combat}",Base,Blob,4,7,Trade Deck,
"1st Kickstarter Promo Pack,
Organized Play Season 2",2,Fortress Oblivion,"If you played a base this turn (including this one), you may scrap a card in your hand or discard pile.",Base,Machine Cult,3,4 Outpost,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - Added reminder text."
"1st Kickstarter Promo Pack,
Organized Play Season 1",1,Megahauler,"{Gain 5 Authority}
You may acquire any ship without paying its cost and put it on top of your deck.
<hr>
{Trade Federation Ally}: Draw a card.",Ship,Trade Federation,7,,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Optional Errata</a> - You don't have to acquire a ship if you don't want to."
"1st Kickstarter Promo Pack,
Organized Play Season 2",1,Starbase Omega,"If you played a base this turn (including this one), draw a card.",Base,Star Empire,4,6,Trade Deck,
"1st Kickstarter Promo Pack,
Organized Play Season 3",2,Starmarket,"If you played a base this turn (including this one), gain {5 Authority} OR {3 Trade}",Base,Trade Federation,4,6,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Optional Errata</a> - This card costs 4 to acquire."
"1st Kickstarter Promo Pack,
Organized Play Season 3",1,The Ark,"{Gain 5 Combat}
You may scrap up to two cards in your hand and/or discard pile. For each card scrapped this way, draw a card.
<hr>
{Scrap}: Destroy target base.",Ship,Machine Cult,7,,Trade Deck,
Core Set,1,Battle Blob,"{Gain 8 Combat}
<hr>
{Blob Ally}: Draw a card.
<hr>
{Scrap}: {Gain 4 Combat}",Ship,Blob,6,,Trade Deck,
Core Set,2,Battle Pod,"{Gain 4 Combat}
You may scrap a card in the trade row.
<hr>
{Blob Ally}: {Gain 2 Combat}",Ship,Blob,2,,Trade Deck,
Core Set,1,Blob Carrier,"{Gain 7 Combat}
<hr>
{Blob Ally}: Acquire any ship for free and put it on top of your deck.",Ship,Blob,6,,Trade Deck,
Core Set,2,Blob Destroyer,"{Gain 6 Combat}
<hr>
{Blob Ally}: You may destroy target base and/or scrap a card in the trade row.",Ship,Blob,4,,Trade Deck,
Core Set,3,Blob Fighter,"{Gain 3 Combat}
<hr>
{Blob Ally}: Draw a card.",Ship,Blob,1,,Trade Deck,
Core Set,3,Blob Wheel,"{Gain 1 Combat}
<hr>
{Scrap}: {Gain 3 Trade}",Base,Blob,3,5,Trade Deck,
Core Set,1,Blob World,"{Gain 5 Combat}
OR Draw a card for each Blob card that you've played this turn.",Base,Blob,8,,Trade Deck,
Core Set,1,Mothership,"{Gain 6 Combat}
Draw a card.
<hr>
{Blob Ally}: Draw a card.",Ship,Blob,7,,Trade Deck,
Core Set,2,Ram,"{Gain 5 Combat}
<hr>
{Blob Ally}: {Gain 2 Combat}
<hr>
{Scrap}: {Gain 3 Trade}",Ship,Blob,3,,Trade Deck,
Core Set,1,The Hive,"{Gain 3 Combat}
<hr>
{Blob Ally}: Draw a card.",Base,Blob,5,5,Trade Deck,
Core Set,3,Trade Pod,"{Gain 3 Trade}
<hr>
{Blob Ally}: {Gain 2 Combat}",Ship,Blob,2,,Trade Deck,
Core Set,1,Battle Mech,"{Gain 4 Combat}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: Draw a card.",Ship,Machine Cult,5,,Trade Deck,
Core Set,2,Battle Station,{Scrap}: {Gain 5 Combat},Base,Machine Cult,3,5 Outpost,Trade Deck,
Core Set,1,Brain World,Scrap up to two cards from your hand and/or discard pile. Draw a card for each card scrapped this way.,Base,Machine Cult,8,6 Outpost,Trade Deck,
Core Set,1,Junkyard,Scrap a card in your hand or discard pile.,Base,Machine Cult,6,5 Outpost,Trade Deck,
Core Set,1,Machine Base,"Draw a card, then scrap a card from your hand.",Base,Machine Cult,7,6 Outpost,Trade Deck,
Core Set,1,Mech World,Mech World counts as an ally for all factions.,Base,Machine Cult,5,6 Outpost,Trade Deck,
Core Set,3,Missile Bot,"{Gain 2 Combat}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,2,,Trade Deck,
Core Set,1,Missile Mech,"{Gain 6 Combat}
You may destroy target base.
<hr>
{Machine Cult Ally}: Draw a card.",Ship,Machine Cult,6,,Trade Deck,
Core Set,2,Patrol Mech,"{Gain 3 Trade} OR {Gain 5 Combat}
<hr>
{Machine Cult Ally}: Scrap a card in your hand or discard pile.",Ship,Machine Cult,4,,Trade Deck,
Core Set,1,Stealth Needle,Copy another ship you've played this turn. Stealth Needle has that ship's faction in addition to Machine Cult.,Ship,Machine Cult,4,,Trade Deck,
Core Set,3,Supply Bot,"{Gain 2 Trade}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,3,,Trade Deck,
Core Set,3,Trade Bot,"{Gain 1 Trade}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,1,,Trade Deck,
Core Set,1,Battlecruiser,"{Gain 5 Combat} Draw a card.
<hr>
{Star Empire Ally}: Target opponent discards a card.
<hr>
{Scrap}: Draw a card. You may destroy target base.",Ship,Star Empire,6,,Trade Deck,
Core Set,2,Corvette,"{Gain 1 Combat}
Draw a card.
<hr>
{Star Empire Ally}: {Gain 2 Combat}",Ship,Star Empire,2,,Trade Deck,
Core Set,1,Dreadnaught,"{Gain 7 Combat}
Draw a card.
<hr>
{Scrap}: {Gain 5 Combat}",Ship,Star Empire,7,,Trade Deck,
Core Set,1,Fleet HQ,"Whenever you play a ship, gain {1 Combat}",Base,Star Empire,8,8,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - Only ships played while Fleet HQ is in play gain the 1 combat bonus."
Core Set,3,Imperial Fighter,"{Gain 2 Combat}
Target opponent discards a card.
<hr>
{Star Empire Ally}: {Gain 2 Combat}",Ship,Star Empire,1,,Trade Deck,
Core Set,3,Imperial Frigate,"{Gain 4 Combat} Target opponent discards a card.
<hr>
{Star Empire Ally}: {Gain 2 Combat}
<hr>
{Scrap}: Draw a card.",Ship,Star Empire,3,,Trade Deck,
Core Set,2,Recycling Station,"{Gain 1 Trade}
OR discard up to two cards, then draw that many cards.",Base,Star Empire,4,4 Outpost,Trade Deck,
Core Set,1,Royal Redoubt,"{Gain 3 Combat}
<hr>
{Star Empire Ally}: Target opponent discards a card.",Base,Star Empire,6,6 Outpost,Trade Deck,
Core Set,2,Space Station,"{Gain 2 Combat}
<hr>
{Star Empire Ally}: {Gain 2 Combat}
<hr>
{Scrap}: {Gain 4 Trade}",Base,Star Empire,4,4 Outpost,Trade Deck,
Core Set,3,Survey Ship,"{Gain 1 Trade}
Draw a card.
<hr>
{Scrap}: Target opponent discards a card.",Ship,Star Empire,3,,Trade Deck,
Core Set,1,War World,"{Gain 3 Combat}
<hr>
{Star Empire Ally}: {Gain 4 Combat}",Base,Star Empire,5,4 Outpost,Trade Deck,
Core Set,2,Barter World,"{Gain 2 Authority} OR {Gain 2 Trade}
<hr>
{Scrap}: {Gain 5 Combat}",Base,Trade Federation,4,4,Trade Deck,
Core Set,1,Central Office,"{Gain 2 Trade} You may put the next ship you acquire this turn on top of your deck.
<hr>
{Trade Federation Ally}: Draw a card.",Base,Trade Federation,7,6,Trade Deck,
Core Set,1,Command Ship,"{Gain 4 Authority} {Gain 5 Combat}
Draw two cards.
<hr>
{Trade Federation Ally}: Destroy target base.",Ship,Trade Federation,8,,Trade Deck,
Core Set,3,Cutter,"{Gain 4 Authority} {Gain 2 Trade}
<hr>
{Trade Federation Ally}: {Gain 4 Combat}",Ship,Trade Federation,2,,Trade Deck,
Core Set,1,Defense Center,"{Gain 3 Authority} OR {Gain 2 Combat}
<hr>
{Trade Federation Ally}: {Gain 2 Combat}",Base,Trade Federation,5,5 Outpost,Trade Deck,
Core Set,2,Embassy Yacht,"{Gain 3 Authority} {Gain 2 Trade}
If you have two or more bases in play, draw two cards.",Ship,Trade Federation,3,,Trade Deck,
Core Set,3,Federation Shuttle,"{Gain 2 Trade}
{Trade Federation Ally}: {Gain 4 Authority}",Ship,Trade Federation,1,,Trade Deck,
Core Set,1,Flagship,"{Gain 5 Combat}
Draw a card.
<hr>
{Trade Federation Ally}: {Gain 5 Authority}",Ship,Trade Federation,6,,Trade Deck,
Core Set,2,Freighter,"{Gain 4 Trade}
<hr>
{Trade Federation Ally}: You may put the next ship you acquire this turn on top of your deck.",Ship,Trade Federation,4,,Trade Deck,
Core Set,1,Port of Call,"{Gain 3 Trade}
<hr>
{Scrap}: Draw a card. You may destroy target base.",Base,Trade Federation,6,6 Outpost,Trade Deck,
Core Set,1,Trade Escort,"{Gain 4 Authority} {Gain 4 Combat}
<hr>
{Trade Federation Ally}: Draw a card.",Ship,Trade Federation,5,,Trade Deck,
Core Set,2,Trading Post,"{Gain 1 Authority} OR {Gain 1 Trade}
<hr>
{Scrap}: {Gain 3 Combat}",Base,Trade Federation,3,4 Outpost,Trade Deck,
Core Set,10,Explorer,"{Gain 2 Trade}
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Unaligned,2,,Explorer Pile,
Core Set,16,Scout,{Gain 1 Trade},Ship,Unaligned,,,Personal Deck,
Core Set,4,Viper,{Gain 1 Combat},Ship,Unaligned,,,Personal Deck,
Core Set (First Edition),6,Scorecard (10) | Scorecard (20),,Scorecard,,,,Scorecard,
Core Set (First Edition),12,Scorecard (1) | Scorecard (5),,Scorecard,,,,Scorecard,
Core Set (Second Edition),1,Scorecard (40-70) | Scorecard (00-30),,Scorecard,Red,,,Scorecard,
Core Set (Second Edition),1,Scorecard (00-09) | Scorecard (80-89),,Scorecard,Red,,,Scorecard,
Core Set (Second Edition),1,Scorecard (40-70) | Scorecard (00-30),,Scorecard,Yellow,,,Scorecard,
Core Set (Second Edition),1,Scorecard (00-09) | Scorecard (80-89),,Scorecard,Yellow,,,Scorecard,
"Promos (Battlecruiser Storage Box),
Promos (Imperial Fighter Deck Box)",1,Mercenary Garrison,"{Star Empire Ally}: {Gain 2 Combat}
<hr>
{Machine Cult Ally}: Scrap a card from your hand or discard pile.
<hr>
{Trade Federation Ally}: {Gain 3 Authority}
<hr>
{Blob Ally}: Scrap up to two cards currently in the trade row.",Base,Unaligned,4,5 Outpost,Trade Deck,
Promos (Dice Tower 2016),1,Security Craft,"{Gain 4 Combat} {Gain 3 Authority}
<hr>
{Trade Federation Ally}: {Gain 3 Trade}",Ship,Trade Federation,4,,Trade Deck,
Promos (Mech Cruiser Storage Box ),1,Merc Battlecruiser,"{Gain 6 Combat}
Draw a card.
Choose a faction as you play Merc Battlecruiser. Merc Battlecruiser is that faction.",Ship,Unaligned,6,,Trade Deck,